Individuo,Latitude,Longitude,X utm,Y utm,Substrato,Comportamento,Condicao,Varredura,Observador,Grupo,Altitude,Nome,Data,Hora
NI,"-7,530161","-34,959698","283761,8506","9167158,244",4,FOR MURICI,nublado,22,1,grupao,79,,2022-05-11,16:14:19
M,"-7,529913","-34,959813","283749,0334","9167185,619",4,FOR DENDE,nublado,22,1,grupao,89,,2022-05-11,16:14:37
M,"-7,530224","-34,959719","283759,5638","9167151,265",4,Lof,nublado,22,1,grupao,89,,2022-05-11,16:15:32
F,"-7,530308","-34,959899","283739,7362","9167141,884",4,Lof,nublado,22,1,grupao,87,,2022-05-11,16:17:08
M,"-7,530304","-34,959931","283736,202","9167142,311",4,Lof,nublado,22,1,grupao,87,,2022-05-11,16:17:14
J1,"-7,530235","-34,95996","283732,9666","9167149,929",3,Lof,nublado,22,1,grupao,87,,2022-05-11,16:17:23
F,"-7,530576","-34,960213","283705,2085","9167112,085",4,Lof,nublado,22,1,grupao,84,,2022-05-11,16:19:12
J3,"-7,530529","-34,960159","283711,1459","9167117,31",4,Lof,nublado,22,1,grupao,85,,2022-05-11,16:19:29
F,"-7,530628","-34,960164","283710,6431","9167106,357",4,Lof,nublado,22,1,grupao,84,,2022-05-11,16:20:23
M,"-7,530631","-34,960255","283700,5996","9167105,98",4,Lof,nublado,22,1,grupao,84,,2022-05-11,16:20:46
SA,"-7,530721","-34,960341","283691,1512","9167095,983",4,BRINCADEIRA,nublado,22,1,grupao,82,,2022-05-11,16:21:05
J2,"-7,530724","-34,960347","283690,4904","9167095,648",4,BRINCADEIRA,nublado,22,1,grupao,82,,2022-05-11,16:21:14
J2,"-7,530701","-34,960331","283692,2452","9167098,2",4,Lof,nublado,22,1,grupao,83,,2022-05-11,16:21:25
M,"-7,530737","-34,960446","283679,5688","9167094,161",3,Lof,nublado,22,1,grupao,81,,2022-05-11,16:21:41
M,"-7,530658","-34,960302","283695,425","9167102,971",4,Lof,nublado,22,1,grupao,83,,2022-05-11,16:21:56
F,"-7,530556","-34,960505","283672,9663","9167114,152",3,Lof,nublado,22,1,grupao,82,,2022-05-11,16:22:15
M,"-7,530719","-34,960504","283673,1576","9167096,123",3,Lof,nublado,22,1,grupao,81,,2022-05-11,16:22:46
J2,"-7,530722","-34,960387","283686,0741","9167095,849",3,Lof,nublado,22,1,grupao,82,,2022-05-11,16:22:57
J2,"-7,530716","-34,960402","283684,4153","9167096,506",3,Lof,nublado,22,1,grupao,82,,2022-05-11,16:23:04
J3,"-7,530707","-34,960387","283686,0666","9167097,508",3,Lof,nublado,22,1,grupao,82,,2022-05-11,16:23:11
M,"-7,530685","-34,960481","283675,6796","9167099,895",4,Lof,nublado,22,1,grupao,81,,2022-05-11,16:23:48
M,"-7,530601","-34,96032","283693,4098","9167109,267",4,Lof,nublado,22,1,grupao,83,,2022-05-11,16:24:03
F,"-7,530597","-34,960568","283666,0325","9167109,586",4,Lof,nublado,22,1,grupao,82,,2022-05-11,16:25:31
M,"-7,530687","-34,960658","283656,1425","9167099,587",4,Lof,nublado,22,1,grupao,80,,2022-05-11,16:26:01
M,"-7,53076","-34,960656","283656,3995","9167091,513",4,BRINCADEIRA,nublado,22,1,grupao,79,,2022-05-11,16:27:34
J3,"-7,530673","-34,960606","283661,8756","9167101,161",4,Lof,nublado,22,1,grupao,81,,2022-05-11,16:28:17
NI,"-7,530782","-34,960785","283642,1709","9167089,015",3,Lof,nublado,22,1,grupao,78,,2022-05-11,16:29:09
NI,"-7,530702","-34,961022","283615,9701","9167097,747",4,Lof,nublado,22,1,grupao,77,,2022-05-11,16:29:21
NI,"-7,530839","-34,960878","283631,9334","9167082,665",3,Lof,nublado,22,1,grupao,77,,2022-05-11,16:30:03
M,"-7,530619","-34,960912","283628,0712","9167106,982",4,Lof,nublado,22,1,grupao,79,,2022-05-11,16:30:35
F,"-7,530657","-34,961106","283606,6754","9167102,683",3,Lof,nublado,22,1,grupao,78,,2022-05-11,16:30:48
FF,"-7,530693","-34,960947","283624,2444","9167098,78",4,Lof,nublado,22,1,grupao,78,,2022-05-11,16:31:23
NI,"-7,530932","-34,960689","283652,8422","9167072,471",3,Lof,nublado,22,1,grupao,77,,2022-05-11,16:33:07
NI,"-7,530904","-34,961003","283618,1676","9167075,413",3,Lof,nublado,22,1,grupao,75,,2022-05-11,16:34:10
